As_diam_km,As_dist_km,As_velocity_kmh,As_velocity_angle,As_dist_relative_flag,Coordinate_flag,Sc_diam_m,Sc_velocity_kmh,Relative_velocity,Estimated_time,New_theta,Final_Angle
205.846088,627536.92,22017.0038,-50,0,2,7,62954,78929.31634,7.950618973,0.018794938,-49.98120506
236.3429305,572981.48,65210.34609,82,1,1,6,56750,92211.84277,6.21375154,0.023633925,81.97636608
374.578302,76229.115,27326.56018,52,1,1,4,57263,77152.88211,0.988026797,1.111799532,50.88820047
14.24107,426836.16,40225.94819,2,1,1,3,57998,98209.47799,4.346180926,0.001912034,1.998087966
205.846088,610108.24,35426.99179,-9,0,2,6,57552,92708.62188,6.580922331,0.01933175,-8.98066825
517.0619945,587597.68,38911.83825,-67,1,2,7,58702,82128.40057,7.154622225,0.05041865,-66.94958135
517.0619945,587595.32,38911.82972,-45,1,2,4,62320,93954.03073,6.254072502,0.05041856,-44.94958144
621.645246,193249.28,87918.78238,-74,1,2,3,64003,122180.8307,1.581666116,0.454653827,-73.54534617
1184.520597,535983.64,62545.62181,0,1,1,4,58710,121255.6218,4.420278681,0.126623798,-0.126623798
215.547315,227098.16,46438.595,-88,1,2,3,57908,75482.32019,3.008627178,0.070523768,-87.92947623
142.4106985,300751.54,80716.91873,20,0,1,4,55245,133969.3893,2.244927304,0.047153454,19.95284655
29.753812,644790.12,62188.60127,67,0,1,4,58401,100579.6865,6.410739011,0.002644268,66.99735573
43.0073435,538255.24,43626.63583,-58,1,2,5,55042,86474.80849,6.224416676,0.004578546,-57.99542145
650.942484,644252.2,38987.73464,81,0,1,6,62695,78838.20948,8.171826888,0.057891326,80.94210867
747.3819705,450234.44,142579.1805,38,0,1,7,58281,191889.8021,2.346317704,0.158157572,37.84184243
39.2231635,741966.56,90760.6389,-85,0,2,5,55099,110204.7813,6.732616784,0.003029259,-84.99697074
430.073434,357276.36,11120.41414,-18,1,2,7,60473,71132.197,5.022709477,0.068971265,-17.93102873
